"","date","95% lower bound","median","95% upper bound"
"1",2019-01-01,0.416598228286292,0.433900977327068,0.451014171461972
"2",2019-01-02,0.434844467488614,0.457785892496765,0.483103145403956
"3",2019-01-03,0.456305197169132,0.478468521462078,0.502274325203727
"4",2019-01-04,0.426916520579322,0.4486400431413,0.470645643021998
"5",2019-01-05,0.462910970749686,0.483710157864582,0.504432904747699
"6",2019-01-06,0.431787792444646,0.453019502872631,0.476566032811891
"7",2019-01-07,0.320074496502854,0.341508591257494,0.363459808945882
"8",2019-01-08,0.29972761874825,0.318642543548774,0.338495033003296
"9",2019-01-09,0.338786100436905,0.355085031369149,0.371589131915043
"10",2019-01-10,0.365417301057646,0.380118323283149,0.395303936509512
"11",2019-01-11,0.405738884481801,0.419303604585427,0.432404611422744
"12",2019-01-12,0.370702124314971,0.383913391394636,0.397759749340588
"13",2019-01-13,0.349435855492187,0.365217559655114,0.380751327777493
"14",2019-01-14,0.337638152476555,0.355941313661982,0.373215577224573
"15",2019-01-15,0.369764755576453,0.386557073054184,0.402830464100859
"16",2019-01-16,0.396617307709031,0.41208551616135,0.427935101332322
"17",2019-01-17,0.436596599374303,0.451449220670323,0.466020607879345
"18",2019-01-18,0.451500208303331,0.465406325612119,0.480109034062353
"19",2019-01-19,0.457256593440287,0.470664271315827,0.484512106452755
"20",2019-01-20,0.453722112719976,0.468347326185325,0.483637788128851
"21",2019-01-21,0.442316046628441,0.458770785847227,0.477519458722307
"22",2019-01-22,0.444995532755879,0.461009072017805,0.477411581870079
"23",2019-01-23,0.468406534422912,0.483302321323958,0.497464362285345
"24",2019-01-24,0.491589669079615,0.505156719372085,0.51900371818061
"25",2019-01-25,0.517505840145363,0.530621146975883,0.543687328312171
"26",2019-01-26,0.532889983974272,0.545026864752118,0.558217384505266
"27",2019-01-27,0.522962071182525,0.535352066732285,0.5485343669771
"28",2019-01-28,0.521581451279114,0.535554994408163,0.54923696903288
"29",2019-01-29,0.509811891355168,0.523641039971747,0.537164115258251
"30",2019-01-30,0.504518672084368,0.518163878354509,0.531622892453703
"31",2019-02-01,0.519682860195463,0.532829184650507,0.54535446265989
"32",2019-02-02,0.532278571975243,0.544999527659307,0.558506577928284
"33",2019-02-03,0.533418125305494,0.54708967692642,0.560453472784577
"34",2019-02-04,0.524955249642077,0.539529964445402,0.5538033609495
"35",2019-02-05,0.542285968434269,0.556406785629278,0.569389933707794
"36",2019-02-06,0.556659288281473,0.569574594002663,0.581706400345964
"37",2019-02-07,0.55375552797472,0.567497530907875,0.579882312828822
"38",2019-02-08,0.520940219713667,0.533732667762017,0.545012442912123
"39",2019-02-09,0.51077612436774,0.523490682156533,0.534570402129847
"40",2019-02-10,0.495627280755154,0.509023501282002,0.521307209376206
"41",2019-02-11,0.487587997334767,0.50288038269605,0.516152197687904
"42",2019-02-12,0.461229199942876,0.475462047714326,0.488923692030347
"43",2019-02-13,0.427718509649615,0.442195341951617,0.457428943814718
"44",2019-02-14,0.460366570785307,0.472628880776482,0.48462971084544
"45",2019-02-15,0.474964503228382,0.486490505174682,0.497455302864032
"46",2019-02-16,0.499602571321581,0.510036171467227,0.520226516952796
"47",2019-02-17,0.50698330708177,0.51953291426599,0.53172341431455
"48",2019-02-18,0.520179632730983,0.53455844820021,0.548199039924539
"49",2019-02-19,0.519662736509297,0.533200457019148,0.546289116103676
"50",2019-02-20,0.510223993936748,0.523123542677257,0.537267181973141
"51",2019-02-21,0.508386078612028,0.521510004748781,0.535167610563302
"52",2019-02-22,0.486097475490433,0.49974423080954,0.513601704200961
"53",2019-02-23,0.489438488061683,0.503378526886029,0.516184864184264
"54",2019-02-24,0.488798839895296,0.504083157236741,0.519670447432174
"55",2019-02-25,0.501389706322284,0.515689704916841,0.529877337928214
"56",2019-02-26,0.482488001829174,0.497189356090041,0.510699995413748
"57",2019-02-27,0.475877135310913,0.489520559658094,0.503142034651263
"58",2019-03-01,0.497467660195865,0.509698746543242,0.521533837571858
"59",2019-03-02,0.499319394084885,0.512025654282211,0.52450186745534
"60",2019-03-03,0.506095697089679,0.51873715811894,0.532249218205235
"61",2019-03-04,0.472773570869423,0.487184828610606,0.500367843422102
"62",2019-03-05,0.418816456595937,0.435395322150907,0.450388163487129
"63",2019-03-06,0.419377331281147,0.43483497290813,0.449028107638962
"64",2019-03-07,0.439261661982974,0.455703354530097,0.469052703583154
"65",2019-03-08,0.463496548299981,0.477769808051794,0.49064574196124
"66",2019-03-09,0.481765151329798,0.495810184173697,0.508982651821949
"67",2019-03-10,0.430003657392202,0.446685614132383,0.462575806823618
"68",2019-03-11,0.415538270261565,0.433211252112602,0.45160316090614
"69",2019-03-12,0.452008764253905,0.467965164422725,0.48435809238067
"70",2019-03-13,0.464879383374158,0.479971598233617,0.494982774358147
"71",2019-03-14,0.485415020874741,0.498869513122942,0.512312067810064
"72",2019-03-15,0.511645656843621,0.523343927722097,0.536369393381801
"73",2019-03-16,0.522537687516161,0.534505841164471,0.547540022270832
"74",2019-03-17,0.525252594358683,0.538578123269767,0.551862893191619
"75",2019-03-18,0.505956652632301,0.522120726198805,0.539291807812065
"76",2019-03-19,0.506424417211226,0.522564203817155,0.537851992230879
"77",2019-03-20,0.515469230706034,0.529544528179758,0.543737337001425
"78",2019-03-21,0.541482387116043,0.55434761045896,0.566957569825805
"79",2019-03-22,0.55202292292272,0.564607028698813,0.576079724566018
"80",2019-03-23,0.437132324609525,0.450987189771347,0.464097834725549
"81",2019-03-24,0.362658609948862,0.382076565326868,0.399587608423335
