"","date","Alsace","Aquitaine","Auvergne","Basse-Normandie","Bourgogne","Bretagne","Centre","Champagne-Ardenne","Franche-Comté","Haute-Normandie","Île-de-France","Languedoc-Roussillon","Limousin","Lorraine","Midi-Pyrénées","Nord-Pas-de-Calais","Pays-de-la-Loire","Picardie","Poitou-Charentes","Provence-Alpes-Côte-dAzur","Rhône-Alpes"
"1",2022-01-02,0,0,0,0,0,0,0,0,0,642.857142857143,0,0,0,0,0,192,0,0,0,0,0
"2",2022-01-09,740.571428571429,82.2857142857143,0,0,0,0,0,1000,0,0,0,0,0,0,61.2857142857143,0,0,833.333333333333,0,0,56.5294117647059
"3",2022-01-16,154.285714285714,0,0,0,0,0,0,690,0,0,2,0,0,0,0,60,117.166666666667,616.666666666667,0,0,0
"4",2022-01-23,0,0,0,0,0,67.6,124.8,0,0,0,0,0,800,0,56.5714285714286,0,0,0,0,0,0
"5",2022-01-30,0,0,256.857142857143,457.142857142857,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"6",2022-02-06,174.857142857143,0,0,342.857142857143,0,0,0,0,0,0,0,0,0,347.428571428571,0,0,0,0,0,0,0
"7",2022-02-13,0,48,0,0,0,0,91.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2022-02-20,0,0,0,814.285714285714,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2022-02-27,0,0,0,0,0,0,0,420,0,342.857142857143,0,0,0,0,0,0,0,0,0,27.9411764705882,16.4117647058824
"10",2022-03-06,0,0,0,642.857142857143,0,0,0,0,288,485.714285714286,2,77.1428571428572,0,0,0,0,0,300,0,0,0
"11",2022-03-13,0,0,0,0,0,0,0,0,0,300,0,0,628.571428571429,0,0,0,0,0,235.294117647059,26.4705882352941,0
"12",2022-03-20,0,0,0,0,0,0,86.4,0,0,0,0,0,0,0,0,0,123.333333333333,0,588.235294117647,0,0
"13",2022-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2022-04-03,0,0,0,0,0,0,0,0,0,0,3,51.4285714285714,0,0,37.7142857142857,0,0,0,0,0,0
"15",2022-04-10,0,0,314.857142857143,0,0,0,86.4,0,567,0,2,0,0,206.285714285714,0,0,0,0,0,0,0
"16",2022-04-17,0,0,0,0,0,0,81.6,400,0,0,0,0,1085.71428571429,0,0,0,0,0,452.941176470588,0,18.2352941176471
"17",2022-04-24,0,0,480.571428571429,1428.57142857143,384.8,0,0,0,0,214.285714285714,0,0,0,238.857142857143,0,0,0,0,300,0,0
