"","date","95% lower bound","median","95% upper bound"
"1",2022-01-01,0.311630742556681,0.343321055936279,0.380489365212792
"2",2022-01-02,0.245933481535819,0.299076119619231,0.352609898251998
"3",2022-01-03,0.319385121087674,0.36178859067219,0.398578858606731
"4",2022-01-04,0.363907954386101,0.409243945252605,0.440032573788931
"5",2022-01-05,0.372538544328105,0.413689136643456,0.44255795361275
"6",2022-01-06,0.329292125731519,0.350598531294584,0.373747846648185
"7",2022-01-07,0.296602926663251,0.320474334165756,0.342198832327408
"8",2022-01-08,0.294350724721465,0.316305561169298,0.338660236088029
"9",2022-01-09,0.313025649667924,0.333886346223798,0.35527644345107
"10",2022-01-10,0.308994026766445,0.335362901210961,0.361418835540691
"11",2022-01-11,0.331217974320149,0.353069539597083,0.374657515080178
"12",2022-01-12,0.343751075781845,0.366946922242238,0.389792281531073
"13",2022-01-13,0.345403226357788,0.366608757183148,0.387708675876136
"14",2022-01-14,0.166755209116527,0.207698469986081,0.270056361206379
"15",2022-01-15,0.0454947229860219,0.089797929965954,0.196400934616096
"16",2022-01-16,0.0145143459905139,0.0562630444635484,0.155794066663866
"17",2022-01-17,-0.0701521456490821,-0.0299876868914941,0.0865502969602368
"18",2022-01-18,0.115736835990846,0.133147838137295,0.158256443099779
"19",2022-01-19,0.198869788665308,0.227610438338728,0.25688773362488
"20",2022-01-20,0.256048897684293,0.306399688059296,0.338156117112679
"21",2022-01-21,0.313577619700279,0.406975304031093,0.447690284652273
"22",2022-01-22,0.362502459974984,0.457743295223541,0.498386960344006
"23",2022-01-23,0.38212103645917,0.466279652029295,0.498847123223622
"24",2022-01-24,0.415028903368691,0.489043348573732,0.521128025115885
"25",2022-01-25,0.455768506163082,0.539740031570849,0.566564442408861
"26",2022-01-26,0.473900695298328,0.544128955276848,0.564744156774087
"27",2022-01-27,0.476266346381544,0.517418749047075,0.535113387636918
"28",2022-01-28,0.465669606906691,0.499677271690437,0.517741656277137
"29",2022-01-29,0.277626059547811,0.32294367004787,0.379358636993648
"30",2022-01-30,0.258810953957592,0.300443529812281,0.358794637153051
"31",2022-02-01,0.325757399852887,0.355150180935195,0.383580264290454
"32",2022-02-02,0.413850281586643,0.440043136858997,0.465141345656306
"33",2022-02-03,0.42928640082761,0.458669666149111,0.48310224034462
"34",2022-02-04,0.44741929995173,0.480003564691603,0.503385404528048
"35",2022-02-05,0.478298722171323,0.524100836397261,0.548746666231461
"36",2022-02-06,0.476474868207711,0.511750511013044,0.536920523966523
"37",2022-02-07,0.473699351438516,0.503503135879405,0.532752530711988
"38",2022-02-08,0.480333081816174,0.50891852412671,0.537313608312803
"39",2022-02-09,0.455268987560715,0.480480507828865,0.501495256159155
"40",2022-02-10,0.402479393743033,0.426015902946856,0.450438363010608
"41",2022-02-11,0.422920221349189,0.442000507949558,0.459901747597075
"42",2022-02-12,0.427481422684961,0.447699378913433,0.466997280606438
"43",2022-02-13,0.250529657235039,0.290413723682448,0.370599215609596
"44",2022-02-14,0.313707807903987,0.345971355816001,0.385444107983215
"45",2022-02-15,0.425301625973611,0.451096723431061,0.480147783894567
"46",2022-02-16,0.439603413151133,0.469529513497649,0.495212153919297
"47",2022-02-17,0.326038686794899,0.352425180870581,0.387919858693698
"48",2022-02-18,0.337318366108807,0.358092372979134,0.388079717748366
"49",2022-02-19,0.394698731160692,0.413836383572871,0.435688955269234
"50",2022-02-20,0.36426093722807,0.39209391190717,0.415322234628073
"51",2022-02-21,0.345920648160525,0.378210746480868,0.406407492446407
"52",2022-02-22,0.343001202862422,0.36904870738544,0.394109289840605
"53",2022-02-23,0.340663927880343,0.365928104036529,0.390907642805795
"54",2022-02-24,0.370905407180016,0.392061207936648,0.414221672843452
"55",2022-02-25,0.421991523082637,0.458013726217466,0.483073945478269
"56",2022-02-26,0.448171258204073,0.499367980539133,0.530608119247848
"57",2022-02-27,0.462013914875675,0.509121732534462,0.54350031826184
"58",2022-03-01,0.470632619485424,0.509813015239774,0.54269318119269
"59",2022-03-02,0.383224319693112,0.414753340766041,0.44156574801929
"60",2022-03-03,0.364559083215012,0.392790792895636,0.422223969983208
"61",2022-03-04,0.329735480674654,0.359881534716254,0.395723522700943
"62",2022-03-05,0.410644058200953,0.429207276316268,0.449371101070203
"63",2022-03-06,0.429969223212359,0.451423548259518,0.469716406271222
"64",2022-03-07,0.483061737996658,0.530599502114388,0.558087127232028
"65",2022-03-08,0.471319615612074,0.500478498824511,0.521703347369033
"66",2022-03-09,0.483444152436147,0.513114481350103,0.53639949487515
"67",2022-03-10,0.500433085694824,0.533036979356889,0.555446115300538
"68",2022-03-11,0.533904840026621,0.57839292549783,0.599558749916821
"69",2022-03-12,0.466141271121724,0.488997862317522,0.508788436617098
"70",2022-03-13,0.33469977138014,0.372407146246363,0.42992823179829
"71",2022-03-14,0.381505368088321,0.413485872301609,0.444629523075777
"72",2022-03-15,0.281961994686947,0.317837959944458,0.388085660563268
"73",2022-03-16,0.378895733888698,0.402461140647398,0.426066846035832
"74",2022-03-17,0.433407336304452,0.452224784603507,0.471305158977035
"75",2022-03-18,0.421305417317616,0.438911267454024,0.456393362583164
"76",2022-03-19,0.408564102173222,0.424892298560794,0.442353939773791
"77",2022-03-20,0.414126451290405,0.435256701303624,0.456532664554478
"78",2022-03-21,0.407004847584546,0.431214513570184,0.453317607931946
"79",2022-03-22,0.457630816651229,0.485724162627198,0.509181319915984
"80",2022-03-23,0.336546344928779,0.364944956021053,0.40521901873818
"81",2022-03-24,0.351775419590669,0.373305711004276,0.403158463580266
