"","date","Alsace","Aquitaine","Auvergne","Basse-Normandie","Bourgogne","Bretagne","Centre","Champagne-Ardenne","Franche-Comté","Haute-Normandie","Île-de-France","Languedoc-Roussillon","Limousin","Lorraine","Midi-Pyrénées","Nord-Pas-de-Calais","Pays-de-la-Loire","Picardie","Poitou-Charentes","Provence-Alpes-Côte-dAzur","Rhône-Alpes"
"1",2019-01-06,0,0,0,0,0,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8
"2",2019-01-13,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,1000,0,39.6
"3",2019-01-20,93,88.2,0,0,0,0,360,1666.66666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2019-01-27,0,0,0,0,1472.66666666667,58,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2019-02-03,80.6,50.4,0,0,0,0,435,0,0,0,4,0,0,0,211.5,0,0,0,670,0,22
"6",2019-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2019-02-17,0,84,0,0,673.666666666667,0,0,0,0,0,2,0,0,0,0,0,201.6,429,930,0,0
"8",2019-02-24,0,0,0,0,0,0,0,933.333333333333,0,0,0,0,0,1666.66666666667,0,0,0,0,0,0,0
"9",2019-03-03,0,0,0,0,595.333333333333,58,0,0,0,0,0,0,0,0,0,0,212.8,0,0,0,0
"10",2019-03-10,0,33.6,291.2,640,0,0,0,0,0,0,0,0,0,350,0,0,0,0,640,0,0
"11",2019-03-17,148.8,0,0,800,0,67.6666666666667,0,0,0,0,0,119,0,0,0,480,0,0,0,0,0
"12",2019-03-24,0,0,0,580,0,0,0,0,0,0,0,147,0,0,0,0,470.4,0,0,0,24.2
"13",2019-03-31,0,0,0,480,0,67.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4
"14",2019-04-07,0,0,332.8,0,548.333333333333,0,0,0,0,0,2,245,0,0,0,0,252,495,410,0,0
"15",2019-04-14,0,0,0,2000,0,0,0,1150,0,0,0,0,0,0,141,266.666666666667,0,0,0,0,0
"16",2019-04-21,0,0,0,540,0,0,0,0,0,0,0,0,0,683.333333333333,0,0,0,0,0,120.9,0
"17",2019-04-28,0,0,0,920,0,0,0,0,0,0,3,0,0,0,0,0,0,0,490,0,35.2
"18",2019-05-05,0,0,540.8,1320,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,22
"19",2019-05-12,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,460,0,0
"20",2019-05-19,192.2,46.2,0,480,0,106.333333333333,0,0,0,0,2,182,0,0,133.166666666667,0,0,0,0,0,0
"21",2019-05-26,0,42,0,580,0,0,0,0,0,0,0,0,0,0,0,306.666666666667,0,0,0,0,0
"22",2019-06-02,0,0,0,0,0,0,0,833.333333333333,0,0,4,0,0,366.666666666667,0,0,0,0,0,0,0
"23",2019-06-09,111.6,42,0,0,0,0,0,750,0,0,0,0,0,0,0,0,274.4,0,0,0,0
"24",2019-06-16,0,0,0,520,0,0,0,0,0,0,3,119,0,0,0,0,302.4,0,0,54.6,17.6
"25",2019-06-23,0,0,332.8,0,0,62.8333333333333,0,0,0,0,0,98,0,0,227.166666666667,0,0,0,0,0,0
"26",2019-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2019-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,916.666666666667,0,153.333333333333,240.8,0,0,0,0
"28",2019-07-14,0,37.8,0,0,0,140.166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"29",2019-07-21,0,0,301.6,0,0,0,0,0,0,0,4,0,0,466.666666666667,0,666.666666666667,151.2,0,760,0,22
"30",2019-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.4,0
"31",2019-08-04,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,28.6
"32",2019-08-11,74.4,0,270.4,0,0,0,0,666.666666666667,0,0,5,0,0,0,0,360,0,0,0,0,0
"33",2019-08-18,0,0,0,0,0,0,0,0,0,2000,0,70,0,0,0,633.333333333333,0,0,0,0,0
"34",2019-08-25,179.8,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,574.2,0,0,0
"35",2019-09-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,425.6,0,0,0,0
"36",2019-09-08,0,37.8,0,0,0,0,0,0,0,0,0,0,0,0,125.333333333333,0,0,653.4,0,70.2,0
"37",2019-09-15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,125.333333333333,253.333333333333,0,0,580,0,0
"38",2019-09-22,0,0,0,0,752,0,0,0,0,620,0,0,0,0,0,0,0,0,0,124.8,0
"39",2019-09-29,0,0,0,0,0,0,1350,0,0,0,2,126,0,0,94,0,0,0,0,62.4,0
"40",2019-10-06,105.4,0,239.2,1480,0,0,0,0,0,0,0,0,0,0,0,166.666666666667,0,0,0,0,0
"41",2019-10-13,0,0,0,0,0,0,0,0,0,420,2,0,0,0,368.166666666667,126.666666666667,0,0,0,0,0
"42",2019-10-20,86.8,0,0,0,0,0,0,0,0,0,0,0,0,483.333333333333,0,0,0,0,0,152.1,0
"43",2019-10-27,0,0,0,440,0,0,0,716.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",2019-11-03,0,0,0,1080,0,0,0,983.333333333333,0,0,0,84,0,0,0,0,235.2,488.4,0,0,0
"45",2019-11-10,0,42,0,0,0,0,0,783.333333333333,0,600,0,0,0,316.666666666667,109.666666666667,0,0,429,0,144.3,24.2
"46",2019-11-17,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",2019-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.666666666667,0,0,0,0,0
"48",2019-12-01,0,0,0,880,0,140.166666666667,0,566.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,22
"49",2019-12-08,0,25.2,0,0,0,0,0,816.666666666667,0,0,0,0,0,483.333333333333,0,0,0,580.8,400,85.8,0
"50",2019-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",2019-12-22,0,50.4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,17.6
"52",2019-12-29,0,0,0,540,0,0,0,0,0,0,0,0,0,0,125.333333333333,0,0,0,0,0,0
