"","date","Alsace","Aquitaine","Auvergne","Basse-Normandie","Bourgogne","Bretagne","Centre","Champagne-Ardenne","Franche-Comté","Haute-Normandie","Île-de-France","Languedoc-Roussillon","Limousin","Lorraine","Midi-Pyrénées","Nord-Pas-de-Calais","Pays-de-la-Loire","Picardie","Poitou-Charentes","Provence-Alpes-Côte-dAzur","Rhône-Alpes"
"1",2022-01-02,0,18.1176470588235,0,0,0,32.5,0,0,0,290,0,145.8,0,0,0,0,0,0,0,44.9166666666667,0
"2",2022-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.9583333333333,0
"3",2022-01-16,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,100.041666666667,0
"4",2022-01-23,98.8235294117647,0,0,0,0,0,0,0,0,0,4,89.1,0,0,59,0,0,0,0,0,15.75
"5",2022-01-30,0,0,0,0,0,22.5,87.8333333333333,833.333333333333,0,0,0,0,0,0,0,0,87.875,0,362.5,44.9166666666667,0
"6",2022-02-06,0,22,0,0,0,0,0,208.333333333333,0,0,0,0,0,0,0,0,0,287.5,0,0,0
"7",2022-02-13,0,0,0,0,0,0,0,0,0,235,4,0,0,0,81.125,0,0,0,0,0,0
"8",2022-02-20,0,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,204.166666666667,0,12.25
"9",2022-02-27,84.7058823529412,0,0,0,0,17.5,0,0,0,0,5,0,0,145.833333333333,0,0,28.5,204.166666666667,0,0,7
"10",2022-03-06,0,0,0,120.352941176471,0,0,96.3333333333333,0,0,0,3,117.45,0,0,0,0,0,0,0,0,0
"11",2022-03-13,0,0,0,0,0,42.5,0,316.666666666667,0,0,0,97.2,0,0,93.4166666666667,0,0,0,0,0,11.375
"12",2022-03-20,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,77.0416666666667,0,0,0,0,0
"13",2022-03-27,0,0,0,0,0,0,0,0,0,0,9,0,0,137.5,0,0,0,0,0,0,0
"14",2022-04-03,0,23.2941176470588,0,0,0,0,0,0,0,0,4,0,0,0,0,68.0833333333333,0,204.166666666667,220.833333333333,0,5.25
"15",2022-04-10,0,0,0,0,0,0,0,183.333333333333,0,370,5,0,0,91.6666666666667,0,0,66.5,0,0,0,0
"16",2022-04-17,0,0,0,0,304.5,0,0,391.666666666667,0,0,3,0,0,0,0,0,0,0,0,0,12.25
"17",2022-04-24,0,0,0,0,0,0,0,0,0,0,0,64.8,0,0,0,25.0833333333333,0,150,0,0,7
"18",2022-05-01,174.117647058824,0,0,0,0,0,0,0,0,135,0,0,0,187.5,0,0,0,0,250,0,13.125
"19",2022-05-08,0,0,0,0,0,0,0,0,0,0,3,0,0,0,56.5416666666667,0,123.5,0,0,26.5416666666667,0
"20",2022-05-15,0,0,0,120.352941176471,630.75,75,0,0,0,500,0,0,0,0,0,41.2083333333333,0,0,0,0,0
"21",2022-05-22,0,0,288.235294117647,0,0,0,0,0,0,250,0,0,0,145.833333333333,0,0,0,145.833333333333,116.666666666667,0,0
"22",2022-05-29,0,0,0,0,137.75,0,0,0,0,0,0,0,0,416.666666666667,0,0,0,0,0,0,0
"23",2022-06-05,108.235294117647,28.4705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,41.2083333333333,0,308.333333333333,0,65.3333333333333,7
"24",2022-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,158.333333333333,0,0,135.375,0,0,42.875,0
"25",2022-06-19,0,0,0,0,261,0,0,0,0,0,3,0,0,0,0,0,0,0,416.666666666667,28.5833333333333,0
"26",2022-06-26,0,0,458.823529411765,0,0,35,48.1666666666667,0,0,200,5,0,0,0,0,25.0833333333333,0,0,0,0,0
"27",2022-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.041666666667,0,0,0,0,0,0
"28",2022-07-10,0,0,258.823529411765,0,0,0,0,0,0,450,12,0,0,170.833333333333,0,0,0,212.5,0,0,0
"29",2022-07-17,0,0,352.941176470588,198,0,0,0,300,0,0,0,0,0,0,0,0,0,329.166666666667,0,22.4583333333333,0
"30",2022-07-24,197.647058823529,0,0,0,217.5,0,0,0,0,0,0,81,0,408.333333333333,0,26.875,0,0,0,0,0
"31",2022-07-31,0,0,282.352941176471,0,174,0,48.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2022-08-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2022-08-14,0,27.1764705882353,0,0,0,0,0,0,0,0,20,76.95,0,0,41.7916666666667,0,0,0,0,0,0
"34",2022-08-21,0,20.7058823529412,0,0,275.5,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2022-08-28,0,0,0,0,261,32.5,0,233.333333333333,0,0,6,0,0,0,0,39.4166666666667,0,0,0,0,18.375
"36",2022-09-04,0,0,200,225.176470588235,0,0,0,0,0,0,0,328.05,0,0,0,23.2916666666667,0,0,0,0,0
"37",2022-09-11,0,0,0,124.235294117647,0,0,0,0,0,230,8,0,0,0,0,32.25,0,0,0,0,0
"38",2022-09-18,0,0,0,213.529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.833333333333,34.7083333333333,17.5
"39",2022-09-25,0,0,0,0,195.75,0,0,0,0,0,0,0,0,0,0,37.625,0,0,0,0,6.125
"40",2022-10-02,0,0,294.117647058824,0,0,0,0,0,0,0,0,0,0,0,78.6666666666667,0,0,0,0,0,0
"41",2022-10-09,0,0,247.058823529412,0,0,25,45.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2022-10-16,0,0,588.235294117647,0,0,0,56.6666666666667,408.333333333333,0,0,0,0,0,129.166666666667,0,0,121.125,416.666666666667,0,0,0
"43",2022-10-23,0,0,0,0,123.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",2022-10-30,376.470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8333333333333,0,0,0,0,7
"45",2022-11-06,0,0,0,124.235294117647,152.25,0,0,175,0,0,0,0,0,0,125.375,0,0,0,150,0,0
"46",2022-11-13,0,0,0,256.235294117647,0,0,0,0,0,0,0,0,0,95.8333333333333,0,0,0,0,0,0,10.5
"47",2022-11-20,0,0,0,0,449.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"48",2022-11-27,80,0,0,0,0,0,0,0,0,0,0,97.2,0,91.6666666666667,0,0,0,0,0,0,0
"49",2022-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0416666666667,0,0,0,0,0
