"","date","Alsace","Aquitaine","Auvergne","Basse-Normandie","Bourgogne","Bretagne","Centre","Champagne-Ardenne","Franche-Comté","Haute-Normandie","Île-de-France","Languedoc-Roussillon","Limousin","Lorraine","Midi-Pyrénées","Nord-Pas-de-Calais","Pays-de-la-Loire","Picardie","Poitou-Charentes","Provence-Alpes-Côte-dAzur","Rhône-Alpes"
"1",2021-01-03,0,0,0,0,0,0,0,0,0,101.333333333333,3,0,666.666666666667,42.9333333333333,0,0,18.125,0,0,0,0
"2",2021-01-10,0,0,198,0,0,0,0,0,0,0,4,0,0,0,0,31.5,0,212.5,526.315789473684,16.2105263157895,3.68421052631579
"3",2021-01-17,0,0,0,250,145.666666666667,0,0,0,0,0,3,0,0,0,31.2,0,18.125,0,115.789473684211,0,0
"4",2021-01-24,0,0,0,0,0,7.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2021-01-31,0,0,121,0,0,16,0,0,0,0,0,0,0,22.4,0,0,0,0,105.263157894737,0,3.68421052631579
"6",2021-02-07,0,0,0,0,0,0,0,322.222222222222,0,0,0,41.8,0,0,0,0,14.5,0,0,8.84210526315789,0
"7",2021-02-14,0,0,110,0,375.666666666667,0,0,0,0,0,0,41.8,0,0,0,0,12.6875,143.75,0,0,0
"8",2021-02-21,0,0,0,0,0,0,0,177.777777777778,0,0,0,0,293.333333333333,0,40.8,0,0,0,0,0,0
"9",2021-02-28,0,16.8,0,0,0,14.2222222222222,0,1111.11111111111,0,91.2,0,0,0,0,0,0,0,0,0,0,0
"10",2021-03-07,0,0,0,0,0,0,0,555.555555555556,0,0,0,33,0,0,28.8,10.5,0,125,0,0,0
"11",2021-03-14,0,0,77,0,0,7.11111111111111,0,0,226.666666666667,0,0,33,0,0,0,0,0,0,0,0,0
"12",2021-03-21,41.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2021-03-28,0,44.1,0,0,0,0,0,0,553.333333333333,0,8,37.4,0,0,24,0,0,125,0,0,5.26315789473684
"14",2021-04-04,0,39.9,0,0,99.6666666666667,0,125.333333333333,0,0,187.466666666667,15,0,360,0,38.4,16.5,25.375,318.75,0,11.7894736842105,3.15789473684211
"15",2021-04-11,0,10.5,0,1000,84.3333333333333,0,36.5555555555556,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"16",2021-04-18,0,14.7,0,330,107.333333333333,0,47,0,0,0,0,0,0,0,0,0,0,243.75,0,0,0
"17",2021-04-25,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,12,12.6875,0,0,0,0
"18",2021-05-02,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"19",2021-05-09,0,0,77,0,0,0,0,0,0,106.4,0,0,0,0,0,0,0,0,0,10.3157894736842,0
"20",2021-05-16,0,0,93.5,0,0,0,0,0,0,0,0,0,320,0,0,0,0,93.75,0,0,2.63157894736842
"21",2021-05-23,0,0,104.5,0,0,21.3333333333333,114.888888888889,144.444444444444,0,76,0,0,0,26.1333333333333,0,0,0,0,157.894736842105,0,0
"22",2021-05-30,0,0,0,0,0,0,0,0,200,0,4,0,0,0,0,0,0,0,0,14.7368421052632,0
"23",2021-06-06,68.4,0,0,0,107.333333333333,0,52.2222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2021-06-13,144.4,0,126.5,0,0,0,0,0,0,81.0666666666667,0,0,0,0,28.8,0,0,243.75,0,0,0
"25",2021-06-20,0,0,302.5,310,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,2.63157894736842
"26",2021-06-27,41.8,0,0,0,0,0,0,0,0,0,0,0,0,29.8666666666667,0,0,0,125,0,0,0
"27",2021-07-04,0,0,269.5,0,0,0,36.5555555555556,0,0,126.666666666667,0,0,0,44.8,28.8,24,14.5,0,0,0,0
"28",2021-07-11,0,0,0,0,0,0,73.1111111111111,0,0,0,3,0,0,0,26.4,0,18.125,0,0,0,0
"29",2021-07-18,0,0,0,0,0,23.1111111111111,0,0,0,0,0,72.6,333.333333333333,48.5333333333333,0,0,0,0,0,0,0
"30",2021-07-25,0,0,0,200,130.333333333333,16,0,0,0,0,0,0,0,0,43.2,0,0,0,0,0,0
"31",2021-08-01,0,12.6,0,0,92,28.4444444444444,0,0,0,0,0,0,313.333333333333,0,0,0,0,256.25,0,0,4.21052631578947
"32",2021-08-08,0,8.4,0,140,122.666666666667,0,0,0,0,0,0,57.2,0,41.0666666666667,0,0,0,0,142.105263157895,0,0
"33",2021-08-15,0,0,0,0,0,19.5555555555556,0,0,666.666666666667,146.933333333333,4,0,0,0,0,0,0,0,215.789473684211,0,0
"34",2021-08-22,0,0,0,0,0,0,0,0,293.333333333333,0,0,0,406.666666666667,0,0,0,0,0,0,0,0
"35",2021-08-29,110.2,0,0,0,0,0,135.777777777778,0,393.333333333333,96.2666666666667,0,0,0,0,0,36,0,0,0,17.6842105263158,0
"36",2021-09-05,0,0,0,0,0,0,88.7777777777778,344.444444444444,0,0,0,0,0,0,81.6,0,29,0,168.421052631579,25.0526315789474,0
"37",2021-09-12,0,0,137.5,0,0,0,41.7777777777778,0,0,385.066666666667,0,0,0,0,0,0,0,625,0,16.2105263157895,0
