"","date","Alsace","Aquitaine","Auvergne","Basse-Normandie","Bourgogne","Bretagne","Centre","Champagne-Ardenne","Franche-Comté","Haute-Normandie","Île-de-France","Languedoc-Roussillon","Limousin","Lorraine","Midi-Pyrénées","Nord-Pas-de-Calais","Pays-de-la-Loire","Picardie","Poitou-Charentes","Provence-Alpes-Côte-dAzur","Rhône-Alpes"
"1",2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.75,0,110.769230769231,523.076923076923,0,0,0
"2",2020-01-12,292.8,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2020-01-19,146.4,722.5,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,323.076923076923,426.666666666667,0,0
"4",2020-01-26,0,0,0,326.4,328.571428571429,0,0,0,0,0,6,0,0,0,0,43.8461538461538,0,0,0,0,0
"5",2020-02-02,0,0,0,0,0,124.857142857143,0,679.714285714286,0,0,0,117,0,0,0,0,0,0,0,0,21.8666666666667
"6",2020-02-09,0,102,0,0,0,206.285714285714,151.142857142857,0,0,0,6,0,0,0,368.75,0,0,0,666.666666666667,0,0
"7",2020-02-16,0,0,0,662.4,657.142857142857,0,170.857142857143,869.142857142857,0,0,11,0,0,529,0,70.1538461538461,177.230769230769,0,0,0,0
"8",2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0769230769231,0,546.153846153846,0,0,0
"9",2020-03-01,0,0,500,326.4,685.714285714286,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"10",2020-03-08,0,0,0,921.6,0,114,0,0,0,0,5,0,0,201.25,0,46.7692307692308,0,523.076923076923,0,0,0
"11",2020-03-15,0,238,0,0,557.142857142857,48.8571428571429,124.857142857143,0,0,0,13,114,0,155.25,150,0,121.846153846154,0,0,0,101.133333333333
"12",2020-03-22,0,110.5,0,0,0,59.7142857142857,111.714285714286,0,0,0,0,87,0,0,0,67.2307692307692,88.6153846153846,0,0,0,0
"13",2020-03-29,329.4,0,0,0,0,0,131.428571428571,0,0,0,6,84,0,0,0,111.076923076923,0,0,0,0,21.8666666666667
"14",2020-04-05,115.9,0,0,0,0,0,0,468,0,0,3,99,0,0,0,52.6153846153846,0,0,0,76.2666666666667,0
"15",2020-04-12,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,284.615384615385,380,0,0
"16",2020-04-19,146.4,212.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"17",2020-04-26,0,0,0,0,871.428571428571,114,0,300.857142857143,0,0,0,0,0,184,0,105.230769230769,0,0,220,0,0
"18",2020-05-03,0,0,0,0,0,0,177.428571428571,0,0,315.384615384615,3,0,0,0,0,32.1538461538462,0,0,586.666666666667,0,0
"19",2020-05-10,0,0,0,0,0,48.8571428571429,164.285714285714,657.428571428571,0,0,4,0,0,0,0,0,0,761.538461538462,0,0,0
"20",2020-05-17,189.1,76.5,0,0,0,0,0,0,0,0,0,0,0,178.25,0,0,0,0,360,0,24.6
"21",2020-05-24,0,0,0,0,0,0,302.285714285714,0,0,338.461538461538,0,0,0,0,0,0,0,0,0,55.7333333333333,0
"22",2020-05-31,0,0,0,0,0,0,0,334.285714285714,0,0,5,0,0,0,0,0,48,0,0,0,0
"23",2020-06-07,0,0,0,0,0,0,0,0,0,0,4,0,0,0,437.5,0,0,0,0,76.2666666666667,21.8666666666667
"24",2020-06-14,0,0,0,0,814.285714285714,81.4285714285714,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"25",2020-06-21,317.2,102,0,729.6,0,0,0,0,0,0,0,0,0,396.75,0,0,55.3846153846154,0,0,0,0
"26",2020-06-28,0,0,590,0,557.142857142857,0,0,0,0,0,6,0,0,391,0,0,0,0,526.666666666667,35.2,0
"27",2020-07-05,176.9,0,0,0,0,70.5714285714286,0,0,0,0,3,0,0,0,162.5,0,0,0,0,41.0666666666667,0
"28",2020-07-12,0,0,0,0,0,0,0,0,0,0,4,0,0,529,0,0,0,0,0,0,0
"29",2020-07-19,0,0,0,499.2,0,0,184,423.428571428571,0,0,0,0,0,483,625,0,0,0,0,0,0
"30",2020-07-26,0,110.5,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,769.230769230769,0,0,0
"31",2020-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.333333333333,0,0
"32",2020-08-09,0,0,0,0,0,0,157.714285714286,0,0,469.230769230769,0,0,0,0,0,49.6923076923077,0,0,0,0,0
"33",2020-08-16,323.3,0,0,0,0,86.8571428571429,0,0,0,0,4,0,0,0,0,76,0,0,540,0,76.5333333333333
"34",2020-08-23,0,93.5,0,0,0,0,0,0,0,0,6,0,0,0,137.5,0,0,0,0,0,0
"35",2020-08-30,0,0,0,470.4,457.142857142857,81.4285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2020-09-06,0,0,0,326.4,0,0,0,0,0,0,6,99,0,339.25,0,52.6153846153846,0,0,480,0,0
"37",2020-09-13,0,0,1000,0,0,0,170.857142857143,0,0,0,6,72,0,0,0,0,0,0,0,49.8666666666667,49.2
"38",2020-09-20,0,0,0,316.8,0,0,216.857142857143,0,0,269.230769230769,0,0,0,0,193.75,0,0,0,0,58.6666666666667,0
"39",2020-09-27,0,0,0,0,0,0,0,390,0,0,0,0,0,494.5,0,0,0,0,486.666666666667,0,0
"40",2020-10-04,0,85,0,0,0,0,170.857142857143,0,0,0,0,0,0,195.5,0,0,0,0,0,129.066666666667,0
